11,MAR,95,13:01.4,41.22,21.96,0,2.4
11,MAR,95,19:38.8,40.41,23.32,0,2.3
12,MAR,95,09:32.1,39.92,23.22,4,3.3
13,MAR,95,58:43.8,37.97,22.63,0,2.8
13,MAR,95,41:41.0,39.17,20.54,0,3.4
14,MAR,95,31:21.4,45.13,26.45,0,4.2
14,MAR,95,07:01.9,41.2,23.23,0,2.3
14,MAR,95,26:22.6,39.03,21.7,21,3.5
15,MAR,95,58:57.5,40.45,23.68,0,2.7
15,MAR,95,14:03.8,40.91,20.67,20,3.4
15,MAR,95,26:18.1,40.34,23.92,0,2.2
15,MAR,95,24:42.5,40.15,23.97,0,2.5
15,MAR,95,56:11.2,40.87,20.8,0,2.6
15,MAR,95,00:16.9,41.19,23.24,0,2.2
16,MAR,95,51:43.9,40.82,22.93,1,2
16,MAR,95,12:29.4,40.75,20.88,12,3.5
16,MAR,95,49:04.3,40.85,20.67,0,2.5
16,MAR,95,02:24.2,40.9,20.86,0,2.7
16,MAR,95,25:10.7,38.66,20.46,0,4.2
16,MAR,95,47:50.0,38.47,20.14,22,3.9
16,MAR,95,43:01.7,40.18,23.53,0,2
17,MAR,95,12:03.3,40.74,20.95,0,2.3
17,MAR,95,32:07.8,39.88,19.96,11,2.6
17,MAR,95,19:51.0,39.84,20.03,16,3.4
18,MAR,95,28:33.1,38.64,20.42,3,3.2
18,MAR,95,08:22.8,40.58,25.6,20,3.4
19,MAR,95,52:31.2,40.73,22.74,3,2.2
19,MAR,95,42:56.3,40.12,25.14,9,2.7
19,MAR,95,44:28.0,36.51,21.83,127,3.6
19,MAR,95,03:18.7,39.55,20.64,0,2.4
20,MAR,95,16:54.3,40.63,23.29,1,2
20,MAR,95,20:19.2,40.63,23.3,1,2.3
20,MAR,95,59:07.1,38.72,21.7,2,3
20,MAR,95,35:46.5,40.43,23.62,8,2.3
20,MAR,95,39:09.2,41.29,22.68,1,3
22,MAR,95,00:46.6,38.75,21.92,20,2.8
22,MAR,95,54:54.2,40.62,23.12,5,2.1
23,MAR,95,59:14.9,40.71,22.76,0,2.3
23,MAR,95,19:12.9,37.94,20.19,0,4
23,MAR,95,13:05.8,38.69,22.05,28,3.1
23,MAR,95,54:23.0,38.23,22.11,2,3.4
24,MAR,95,34:21.6,39.5,20.11,12,2.9
24,MAR,95,12:57.2,40.73,23.15,12,2.1
24,MAR,95,02:33.3,39.89,22.01,12,2.6
24,MAR,95,48:12.4,38.83,21.91,22,2.7
24,MAR,95,05:14.7,42.24,24.64,11,2.9
25,MAR,95,15:32.5,40.32,24.01,0,2.6
25,MAR,95,35:46.3,41.22,21.98,0,2.4
25,MAR,95,38:35.5,40.67,24.15,0,3.1
25,MAR,95,14:09.4,40.47,23.66,0,2.1
25,MAR,95,49:42.6,40.82,22.88,0,2.4
27,MAR,95,46:44.2,39.93,23.74,0,2.4
27,MAR,95,26:48.2,41,24.13,3,3.2
27,MAR,95,04:26.3,38.17,22.9,118,2.8
28,MAR,95,32:00.7,39.18,20.53,45,2.9
28,MAR,95,39:01.0,39.35,22.07,1,3.4
28,MAR,95,39:36.8,39.41,22.06,2,3.1
28,MAR,95,44:10.7,39.4,22.11,3,3.4
29,MAR,95,20:46.6,41.63,20.07,2,3.4
29,MAR,95,12:43.5,40.91,25.23,2,2.4
30,MAR,95,30:04.2,38.37,22.35,5,3.3
31,MAR,95,09:36.5,38.22,20.36,5,3.1
31,MAR,95,15:08.2,40.47,20.99,45,3.4
31,MAR,95,55:47.1,39.63,23.45,4,2.4
1,APR,95,44:39.3,40.65,22.89,1,2
1,APR,95,30:48.8,37.28,23.14,0,3.5
2,APR,95,35:23.6,36.36,27.89,59,3.9
